fdc_id,data_type,description,food_category_id,publication_date
2708352,survey_fndds_food,"Noodles, cooked",4004,2022-10-28
326905,foundation_food,"Figs, dried, uncooked",9,2019-04-01
2346393,foundation_food,"Nuts, almonds, whole, raw",12,2022-10-28
326698,foundation_food,"Mustard, prepared, yellow",2,2019-04-01
2263891,foundation_food,"Grapes, green, seedless, raw",9,2022-04-28
2346401,foundation_food,"Potatoes, russet, without skin, raw",11,2022-10-28
2706286,survey_fndds_food,"Fish, salmon, baked or broiled",2402,2022-10-28
2259793,foundation_food,"Yogurt, plain, whole milk",1,2022-04-28
2708409,survey_fndds_food,"Rice, brown, cooked, NS as to fat",4002,2022-10-28
2346407,foundation_food,"Cabbage, green, raw",11,2022-10-28
2708403,survey_fndds_food,"Rice, white, cooked, NS as to fat",4002,2022-10-28
2706105,survey_fndds_food,"Turkey, light meat, skin not eaten",2206,2022-10-28
325658,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",7,2019-04-01
2262074,foundation_food,"Almond butter, creamy",12,2022-04-28
2708614,survey_fndds_food,"Pizza, cheese, from restaurant or fast food, NS as to type of crust",3602,2022-10-28
2003590,foundation_food,"Apple juice, with added vitamin C, from concentrate, shelf stable",9,2021-10-28
1105430,foundation_food,"Apples, red delicious, with skin, raw",9,2020-10-30
325036,foundation_food,"Cheese, parmesan, grated",1,2019-04-01
2346404,foundation_food,"Sweet potatoes, orange flesh, without skin, raw",11,2022-10-28
2514747,foundation_food,"Turkey, ground, 93% lean/ 7% fat, raw",5,2023-04-20
321900,foundation_food,"Broccoli, raw",11,2019-04-01
2646171,foundation_food,"Chicken, thigh, boneless, skinless, raw",5,2023-10-26
2708441,survey_fndds_food,"Couscous, plain, cooked",4004,2022-10-28
2259792,foundation_food,"Buttermilk, low fat",1,2022-04-28
2708357,survey_fndds_food,"Pasta, cooked",4004,2022-10-28
2710688,survey_fndds_food,"Wine, red",7504,2022-10-28
2685577,foundation_food,"Eggplant, raw",11,2024-04-18
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1,2019-04-01
328637,foundation_food,"Cheese, cheddar",1,2019-04-01
2514743,foundation_food,"Beef, ground, 90% lean meat / 10% fat, raw",13,2023-04-20
2346399,foundation_food,"Cherries, sweet, dark red, raw",9,2022-10-28
2727573,foundation_food,"Beef, tenderloin steak, raw",13,2025-04-24
2684444,foundation_food,"Fish, cod, Atlantic, wild caught, raw",15,2024-04-18
2684443,foundation_food,"Crustaceans, shrimp, farm raised, raw",15,2024-04-18
2685575,foundation_food,"Brussels sprouts, raw",11,2024-04-18
2346405,foundation_food,"Celery, raw",11,2022-10-28
2514744,foundation_food,"Beef, ground, 80% lean meat / 20% fat, raw",13,2023-04-20
2258590,foundation_food,"Peppers, bell, red, raw",11,2022-04-28
2685570,foundation_food,"Squash, winter, butternut, raw",11,2024-04-18
2706241,survey_fndds_food,"Fish, cod, baked or broiled",2402,2022-10-28
2259796,foundation_food,"Cheese, feta, whole milk, crumbled",1,2022-04-28
327699,foundation_food,"Strawberries, raw",9,2019-04-01
2710821,foundation_food,"Wild rice, dry, raw",20,2024-10-31
2646172,foundation_food,"Beef, ribeye, steak, boneless, choice, raw",13,2023-10-26
2707153,survey_fndds_food,"Egg, whole, cooked, NS as to cooking method",2502,2022-10-28
2708400,survey_fndds_food,"Quinoa, no added fat",4004,2022-10-28
2710824,foundation_food,"Avocado, Hass, peeled, raw",9,2024-10-31
2644285,foundation_food,"Beans, black, canned, sodium added, drained and rinsed",16,2023-10-26
2346395,foundation_food,"Nuts, pecans, halves, raw",12,2022-10-28
327923,foundation_food,"Lettuce, cos or romaine, raw",11,2019-04-01
2644289,foundation_food,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",16,2023-10-26
324038,foundation_food,"Sauce, salsa, ready-to-serve",6,2019-04-01
1750337,foundation_food,"Soy milk, unsweetened, plain, shelf stable",16,2021-04-28
1750347,foundation_food,"Mushrooms, white button",11,2021-04-28
2710386,survey_fndds_food,"Coffee, Latte",7302,2022-10-28
327046,foundation_food,"Kiwifruit, green, raw",9,2019-04-01
2710472,survey_fndds_food,"Coffee, Cappuccino",7302,2022-10-28
2707396,survey_fndds_food,Refried beans,2802,2022-10-28
2705630,survey_fndds_food,"Ice cream, vanilla",5802,2022-10-28
2346387,foundation_food,"Cream, sour, full fat",1,2022-10-28
790646,foundation_food,"Onions, yellow, raw",11,2020-04-01
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",1,2019-04-01
2263889,foundation_food,"Blueberries, raw",9,2022-04-28
2346386,foundation_food,"Cream, heavy",1,2022-10-28
2684440,foundation_food,"Fish, salmon, sockeye, wild caught, raw",15,2024-04-18
2346396,foundation_food,"Oats, whole grain, rolled, old fashioned",20,2022-10-28
