id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
291305,2705630,6,,9999,1 cubic inch,51000,9.2,,,
291301,2705630,2,,9999,1 scoop,64289,120.0,,,
292459,2705885,9,,9999,Guideline amount on regular sandwich,64546,16.0,,,
292452,2705885,2,,9999,1 medium slice (yield after cooking),61410,8.0,,,
292458,2705885,8,,9999,Guideline amount if topping,64545,8.0,,,
292451,2705885,1,,9999,1 thin slice (yield after cooking),62314,5.0,,,
292454,2705885,4,,9999,"1 oz, raw (yield after cooking)",40054,8.0,,,
292455,2705885,5,,9999,"1 oz, cooked",40040,28.35,,,
292457,2705885,7,,9999,Quantity not specified,90000,16.0,,,
292456,2705885,6,,9999,"1 cup, pieces",10129,80.0,,,
292453,2705885,3,,9999,1 thick slice (yield after cooking),62303,12.0,,,
292781,2705956,4,,9999,1 large breast,64700,135.0,,,
292784,2705956,7,,9999,1 large or thick slice,61039,85.0,,,
292787,2705956,10,,9999,Quantity not specified,90000,120.0,,,
292783,2705956,6,,9999,1 medium slice,61398,60.0,,,
292782,2705956,5,,9999,1 small or thin slice,62138,30.0,,,
292786,2705956,9,,9999,"1 breast quarter (yield after cooking, bone removed)",60453,155.0,,,
292780,2705956,3,,9999,1 medium breast,64699,120.0,,,
292778,2705956,1,,9999,"1 cup, cooked, diced",10049,135.0,,,
292779,2705956,2,,9999,1 small breast,64698,105.0,,,
292785,2705956,8,,9999,"1 oz, cooked",40040,28.35,,,
293635,2706105,6,,9999,"1 oz, boneless, cooked, skinless",40024,28.35,,,
293634,2706105,5,,9999,"1 cup, cooked, diced",10049,135.0,,,
293632,2706105,3,,9999,1 large or thick slice,61039,85.0,,,
293633,2706105,4,,9999,1 turkey cutlet,62345,55.0,,,
293636,2706105,14,,9999,Quantity not specified,90000,85.0,,,
293630,2706105,1,,9999,1 small or thin slice,62138,30.0,,,
293631,2706105,2,,9999,1 medium slice,61398,60.0,,,
293925,2706166,2,,9999,1 cocktail/miniature,64376,10.0,,,
293924,2706166,1,,9999,1 regular,62862,57.0,,,
293927,2706166,4,,9999,1 footlong,60787,88.0,,,
293926,2706166,3,,9999,1 bun length/jumbo,64377,57.0,,,
293929,2706166,6,,9999,Quantity not specified,90000,57.0,,,
293928,2706166,5,,9999,"1 cup, sliced",10161,150.0,,,
294367,2706241,6,,9999,1 oz yields,40016,20.0,,,
294369,2706241,8,,9999,Quantity not specified,90000,140.0,,,
294365,2706241,4,,9999,"1 whole fish, any size",64746,420.0,,,
294362,2706241,1,,9999,1 small/regular fillet,64761,140.0,,,
294364,2706241,3,,9999,1 steak,62898,210.0,,,
294366,2706241,5,,9999,1 cup,10205,135.0,,,
294363,2706241,2,,9999,1 large fillet,64009,210.0,,,
294368,2706241,7,,9999,1 cubic inch,51000,17.0,,,
294670,2706286,4,,9999,1 cup,10205,135.0,,,
294669,2706286,3,,9999,1 steak,62898,210.0,,,
294667,2706286,1,,9999,1 small/regular fillet,64761,140.0,,,
294668,2706286,2,,9999,1 large fillet,64009,210.0,,,
294671,2706286,5,,9999,1 oz yields,40016,20.0,,,
294673,2706286,7,,9999,Quantity not specified,90000,140.0,,,
294672,2706286,6,,9999,1 cubic inch,51000,17.0,,,
295068,2706363,3,,9999,1 large/jumbo shrimp,64763,15.0,,,
295066,2706363,1,,9999,1 tiny shrimp,62320,5.0,,,
295069,2706363,4,,9999,1 prawn,61784,20.0,,,
295071,2706363,6,,9999,Quantity not specified,90000,85.0,,,
295067,2706363,2,,9999,1 small/medium shrimp,64745,10.0,,,
295070,2706363,5,,9999,1 cup,10205,135.0,,,
297268,2707153,3,,9999,Quantity not specified,90000,50.0,,,
297266,2707153,1,,9999,1 egg,60710,50.0,,,
297267,2707153,2,,9999,1 cup,10205,135.0,,,
297425,2707198,2,,9999,1 cup,10205,135.0,,,
297426,2707198,3,,9999,Quantity not specified,90000,110.0,,,
297424,2707198,1,,9999,1 egg,60710,55.0,,,
298010,2707396,2,,9999,Quantity not specified,90000,130.0,,,
298009,2707396,1,,9999,1 cup,10205,260.0,,,
298083,2707425,1,,9999,1 cup,10205,180.0,,,
298085,2707425,3,,9999,Quantity not specified,90000,90.0,,,
298084,2707425,2,,9999,"1 oz dry, yield after cooking",40014,70.0,,,
298137,2707442,4,,9999,Quantity not specified,90000,16.0,,,
298136,2707442,3,,9999,Guideline amount per piece of sushi,64542,2.0,,,
298134,2707442,1,,9999,1 tablespoon,21000,16.0,,,
298135,2707442,2,,9999,1 individual packet,60876,9.0,,,
299964,2707823,11,,9999,Quantity not specified,90000,77.0,,,
299966,2707823,13,,9999,1 medium,61238,28.0,,,
299967,2707823,14,,9999,1 large,60919,44.0,,,
299968,2707823,15,,9999,1 extra large,60749,65.0,,,
299965,2707823,12,,9999,1 small,62015,18.0,,,
299973,2707824,16,,9999,1 extra large,60749,104.0,,,
299971,2707824,14,,9999,1 medium,61238,45.0,,,
299970,2707824,13,,9999,1 small,62015,33.0,,,
299972,2707824,15,,9999,1 large,60919,71.0,,,
299969,2707824,11,,9999,Quantity not specified,90000,56.0,,,
302658,2708352,2,,9999,"1 oz, dry, yields",40049,75.0,,,
302657,2708352,1,,9999,"1 cup, cooked",10043,160.0,,,
302659,2708352,4,,9999,Quantity not specified,90000,160.0,,,
302671,2708357,2,,9999,"1 oz, dry, yields",40049,80.0,,,
302672,2708357,3,,9999,Quantity not specified,90000,140.0,,,
302670,2708357,1,,9999,"1 cup, cooked",10043,140.0,,,
302761,2708381,2,,9999,"1 cup, dry, yields",10074,485.0,,,
302763,2708381,4,,9999,Quantity not specified,90000,240.0,,,
302762,2708381,3,,9999,"1 oz, dry, yields",40049,170.0,,,
302760,2708381,1,,9999,"1 cup, cooked",10043,240.0,,,
302876,2708400,1,,9999,"1 cup, cooked",10043,170.0,,,
302877,2708400,2,,9999,Quantity not specified,90000,170.0,,,
302882,2708403,1,,9999,"1 cup, cooked",10043,163.0,,,
302883,2708403,2,,9999,Quantity not specified,90000,122.0,,,
302894,2708409,1,,9999,"1 cup, cooked",10043,196.0,,,
302895,2708409,2,,9999,Quantity not specified,90000,147.0,,,
302979,2708441,2,,9999,"1 oz, dry, yields",40049,90.0,,,
302980,2708441,4,,9999,Quantity not specified,90000,160.0,,,
302978,2708441,1,,9999,"1 cup, cooked",10043,160.0,,,
303658,2708614,3,,9999,"1 piece, medium pizza",64369,86.0,,,
303663,2708614,8,,9999,"1 medium pizza (11-12"" diameter)",64365,691.0,,,
303666,2708614,11,,9999,1 surface inch,52000,6.2,,,
303657,2708614,2,,9999,"1 piece, small pizza",64368,80.0,,,
303659,2708614,4,,9999,"1 piece, large pizza",64370,119.0,,,
303660,2708614,5,,9999,"1 piece, extra-large pizza",64417,128.0,,,
303662,2708614,7,,9999,"1 small pizza (8-10"" diameter)",64364,480.0,,,
303656,2708614,1,,9999,"1 piece, NFS",63542,119.0,,,
303661,2708614,6,,9999,"1 personal size pizza (5-7"" diameter)",64363,175.0,,,
303667,2708614,12,,9999,Quantity not specified,90000,238.0,,,
303664,2708614,9,,9999,"1 large pizza (13-15"" diameter)",64366,954.0,,,
303665,2708614,10,,9999,"1 extra-large pizza (16-18"" diameter)",64367,1278.0,,,
306051,2709211,2,,9999,1 cup,10205,160.0,,,
306052,2709211,3,,9999,Quantity not specified,90000,40.0,,,
306050,2709211,1,,9999,1 prune,61787,8.0,,,
306292,2709270,11,,9999,Quantity not specified,90000,78.0,,,
306288,2709270,7,,9999,1 miniature melon,64525,1300.0,,,
306291,2709270,10,,9999,1 large melon,64528,6000.0,,,
306285,2709270,4,,9999,1 small wedge/slice,64529,218.0,,,
306284,2709270,3,,9999,1 cup,10205,155.0,,,
306283,2709270,2,,9999,1 ball,60338,15.0,,,
306287,2709270,6,,9999,1 large wedge/slice,64531,432.0,,,
306282,2709270,1,,9999,1 cube,60641,15.0,,,
306289,2709270,8,,9999,1 small melon,64526,3200.0,,,
306290,2709270,9,,9999,1 medium melon,64527,5200.0,,,
306286,2709270,5,,9999,1 medium wedge/slice,64530,325.0,,,
307187,2709458,7,,9999,1 crinkle cut,64634,5.0,,,
307181,2709458,1,,9999,"1 fry, NS as to shape",64739,5.0,,,
307185,2709458,5,,9999,1 waffle,64605,8.0,,,
307190,2709458,10,,9999,"1 large, raw, yields",64637,100.0,,,
307188,2709458,8,,9999,"1 small, raw, yields",64635,50.0,,,
307189,2709458,9,,9999,"1 medium, raw, yields",64636,70.0,,,
307182,2709458,2,,9999,1 shoestring,64632,2.0,,,
307192,2709458,12,,9999,"1 oz, raw, yields",40061,15.0,,,
307186,2709458,6,,9999,1 wedge,62927,9.0,,,
307184,2709458,4,,9999,1 spiral or curly,64740,8.0,,,
307183,2709458,3,,9999,1 straight cut,64633,5.0,,,
307191,2709458,11,,9999,1 cup,10205,60.0,,,
307193,2709458,13,,9999,Quantity not specified,90000,110.0,,,
309451,2710155,1,,9999,1 cup,10205,224.0,,,
309452,2710155,2,,9999,1 tablespoon,21000,14.0,,,
309454,2710155,4,,9999,1 pat,61631,7.0,,,
309458,2710155,8,,9999,Quantity not specified,90000,14.0,,,
309455,2710155,5,,9999,Guideline amount per slice of bread/roll,63484,7.0,,,
309457,2710155,7,,9999,Guideline amount on large sandwich,64547,28.0,,,
309453,2710155,3,,9999,1 stick,62239,113.0,,,
309456,2710155,6,,9999,Guideline amount on regular sandwich,64546,14.0,,,
309586,2710186,2,,9999,1 tablespoon,21000,14.0,,,
309585,2710186,1,,9999,1 cup,10205,224.0,,,
309587,2710186,3,,9999,Quantity not specified,90000,14.0,,,
309591,2710188,1,,9999,1 cup,10205,224.0,,,
309592,2710188,2,,9999,1 tablespoon,21000,14.0,,,
309593,2710188,3,,9999,Quantity not specified,90000,14.0,,,
309661,2710204,10,,9999,Guideline amount on large sandwich,64547,28.0,,,
309659,2710204,8,,9999,1 dipping-size container,64353,28.0,,,
309660,2710204,9,,9999,Guideline amount on regular sandwich,64546,14.0,,,
309657,2710204,3,,9999,1 packet,61573,12.0,,,
309655,2710204,1,,9999,1 cup,10205,220.0,,,
309662,2710204,11,,9999,Guideline amount in salad,64548,28.0,,,
309656,2710204,2,,9999,1 tablespoon,21000,13.8,,,
309658,2710204,7,,9999,Quantity not specified,90000,9.0,,,
309701,2710212,5,,9999,Guideline amount on regular sandwich,64546,15.0,,,
309699,2710212,3,,9999,1 packet,61573,44.0,,,
309698,2710212,2,,9999,1 cup,10205,240.0,,,
309703,2710212,7,,9999,Quantity not specified,90000,30.0,,,
309697,2710212,1,,9999,1 tablespoon,21000,15.0,,,
309702,2710212,6,,9999,Guideline amount on large sandwich,64547,30.0,,,
309700,2710212,4,,9999,1 dipping-size container,64353,70.0,,,
310448,2710375,1,,9999,1 fl oz,30000,30.0,,,
310452,2710375,5,,9999,1 large,60919,600.0,,,
310449,2710375,2,,9999,1 cup (8 fl oz),10215,240.0,,,
310453,2710375,6,,9999,"1 small pot (20 FO, 4 servings)",63973,600.0,,,
310451,2710375,4,,9999,1 medium,61238,480.0,,,
310454,2710375,7,,9999,"1 large pot (60 FO, 12 servings)",64519,1800.0,,,
310455,2710375,8,,9999,Quantity not specified,90000,360.0,,,
310450,2710375,3,,9999,1 small,62015,360.0,,,
310498,2710386,3,,9999,1 small,62015,360.0,,,
310501,2710386,6,,9999,Quantity not specified,90000,360.0,,,
310496,2710386,1,,9999,1 fl oz,30000,30.0,,,
310497,2710386,2,,9999,1 cup (8 fl oz),10215,240.0,,,
310500,2710386,5,,9999,1 large,60919,600.0,,,
310499,2710386,4,,9999,1 medium,61238,480.0,,,
310956,2710472,6,,9999,1 small,62015,360.0,,,
310955,2710472,5,,9999,1 cup (8 fl oz),10215,240.0,,,
310958,2710472,8,,9999,1 large,60919,600.0,,,
310953,2710472,1,,9999,1 fl oz,30000,30.0,,,
310954,2710472,4,,9999,Quantity not specified,90000,360.0,,,
310957,2710472,7,,9999,1 medium,61238,480.0,,,
311919,2710616,4,,9999,1 bottle (40 fl oz),64216,1200.0,,,
311918,2710616,3,,9999,1 can or bottle (16 fl oz),60424,480.0,,,
311917,2710616,2,,9999,1 can or bottle (12 fl oz),60533,360.0,,,
311916,2710616,1,,9999,1 fl oz,30000,30.0,,,
311920,2710616,5,,9999,Quantity not specified,90000,360.0,,,
312148,2710688,3,,9999,1/2 bottle,62381,375.0,,,
312147,2710688,2,,9999,1 glass,64510,180.0,,,
312146,2710688,1,,9999,1 fl oz,30000,30.0,,,
312149,2710688,4,,9999,Quantity not specified,90000,180.0,,,
312153,2710689,4,,9999,Quantity not specified,90000,180.0,,,
312152,2710689,3,,9999,1/2 bottle,62381,375.0,,,
312150,2710689,1,,9999,1 fl oz,30000,30.0,,,
312151,2710689,2,,9999,1 glass,64510,180.0,,,
